,company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year
113,ERPNext,2008,Mumbai,Tech company,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",Rainmatter,1000000,Venture - Series Unknown,2020
114,LightSpeedAI,2019,Bangalore,Photonics startup,Developer of an optoelectronic processor designed to accelerate AI computations.,"YourNest, growX ventures",3000000,Venture - Series Unknown,2020
115,Grip Invest,2020,Gurugram,FinTech,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,Gemba Capital,3000000,Pre-series A,2020
116,Unacademy,2015,Bangalore,EdTech,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,"Dragoneer Investment Group, Tiger Global Management",3000000,Venture - Series Unknown,2020
117,Yellow Classes,2020,Gurugram,EdTech,New-age fun-learning platform for kids.,India Quotient,1300000,Pre-series A,2020
118,Plum,2019,Bangalore,HealthTech,High quality health insurance and health benefits,"Surge, Tanglin Venture Partners",4100000,Venture - Series Unknown,2020
119,STAGE,2019,Indore,Entertainment,STAGE is an Indian language content platform for artist-led entertainment.,Venture Catalysts,1000000,Venture - Series Unknown,2020
120,Nykaa,2012,Mumbai,Cosmetics,Nykaa is an online marketplace for different beauty and wellness products.,"Alia Bhatt, Katrina Kaif",3000000,Venture - Series Unknown,2020
121,Kaagaz Scanner,2020,New Delhi,Scanning app,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,Pravega Ventures,575000,Venture - Series Unknown,2020
122,NIRA,2017,Bangalore,FinTech,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.","Techstars Bangalore Accelerator, Techstars",1000000,Venture - Series Unknown,2020
123,Prolixr,2018,Gurugram,Skincare startup,A premium skincare brand committed towards building innovative skin care wellness.,"Alfa Ventures, Divij Bajaj",3000000,Seed,2020
124,Byju's,2011,Bangalore,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Owl Ventures, Tiger Global Management",200000000,Venture - Series Unknown,2020
125,DaMENSCH,2018,Bangalore,E-commerce,DaMENSCH is a designer and seller of men's apparel.,"Whiteboard Capital, Matrix Partners India",6000000,Venture - Series Unknown,2020
126,Country Delight,2015,Haryana,Food and Beverages,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Orios Venture Partners, Matrix Partners India",25000000,Series C,2020
127,SignalX,2018,Hyderabad,AI startup,SignalX offers an artificial intelligence-powered SaaS platform,"9Unicorns, 3Lines VC, Hyderabad Angels",800000,Seed,2020
128,Lancify,2018,Bangalore,EdTech,Lancify is building the world's strongest young workforce,"Techstars, Techstars Bangalore Accelerator",300000,Venture - Series Unknown,2020
129,Krimanshi,2015,Jodhpur,Biotechnology company,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,"Rajasthan Venture Capital Fund, AIM Smart City",600000,Seed,2020
130,Instoried,2018,Bangalore,AI startup,Instoried is an augmented writing platform which improves customer interest and engagement.,"Venture Catalysts, SOSV",1000000,Pre-series A,2020
131,PlayerzPot,2015,Mumbai,Gaming startup,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",La Gajjar Group.,3000000,Series A,2020
132,Instamojo,2012,Bangalore,FinTech,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.","BASE, Gunosy Capital",3000000,Venture - Series Unknown,2020
133,Turtlemint,2015,Mumbai,HealthTech,Turtlemint has built Indian personalized insurance platform,"Nexus Venture Partners, Dream Incubator",30000000,Venture - Series Unknown,2020
134,Arata,2017,New Delhi,E-commerce,Arata is an e-commerce site for beauty products and cosmetics.,DSG Consumer Partners,1000000,Pre-series A,2020
135,MPL,2018,Bangalore,Gaming startup,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Pegasus Tech Ventures, Base Partners",5000000,Venture - Series Unknown,2020
136,True Balance,2014,Gurugram,FinTech,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,"IBK Capital, SB Partners",28000000,Venture - Series Unknown,2020
137,Thrive,2020,Mumbai,FoodTech,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.","Whiteboard Capital, Ahimsa Capital",3000000,Pre-series A,2020
138,Kitchens Centre,2019,New Delhi,Proptech,Kitchens Centre offers turnkey solutions to cloud kitchens.,"Jonathan Swanson, Ankush Gera",3000000,Pre-series A,2020
139,Prescribe,2019,Chennai,HealthTech,Provide online services to patients by leveraging WhatsApp.,Titan Capital,100000,Venture - Series Unknown,2020
140,Nepra,2006,Ahmedabad,CleanTech,NEPRA Resource Management provides waste management solutions in India.,"Asha Impact, Aavishkaar Venture Capital",18000000,Series C,2020
141,inFeedo,2013,Gurugram,SaaS startup,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.","Peyush Bansal, Ritesh Malik",3200000,Venture - Series Unknown,2020
142,Shilpa Sciences,2014,Bangalore,HealthTech,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,AngelList India,3000000,Pre-series A,2020
143,Arzooo,2016,Bangalore,Tech Startup,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product","3Lines, Jabbar Internet Group",3000000,Venture - Series Unknown,2020
144,MindTickle,2011,Pune,SaaS platform,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,"Canaan Partners, NewView Capital",100000000,Debt,2020
146,Slice,2016,Bangalore,FinTech,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,"Better Capital, Gunosy",5000000,Debt,2020
147,Rapawalk,2017,Bangalore,E-commerce,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,"Sanjay Ramakrishnan, Ravi Garikipati",300000,Seed,2020
148,Oga Fit's,2017,Bangalore,Fitness startup,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,9Unicorns,3000000,Pre-series A,2020
149,LAVAL,2016,Bangalore,Cosmetics,"Laval Cosmetics, affordable makeup for all ages",Jazal Group,3000000,Pre-series A,2020
150,Stride Ventures,2019,New Delhi,Venture capitalist,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,Small Industries Development Bank of India,80000000,Venture - Series Unknown,2020
151,BlackSoil,2016,Mumbai,FinTech,Blacksoil Advisory is an independent boutique advisory firm.,Angel investors,10000000,Venture - Series Unknown,2020
152,Biocon,1978,Bangalore,Healthcare,"Biocon is a healthcare and technology, company focused on biotechnology.",Goldman Sachs,15000000,Venture - Series Unknown,2020
153,Clientjoy,2013,Gujarat,SaaS startup,Client Management Software For Modern Agencies.,"LetsVenture, Jyotsna Bapat",800000,Pre-series A,2020
154,Xpressbees,2015,Pune,E-commerce,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,"Alibaba Group, InnoVen Capital",100000000,Venture - Series Unknown,2020
155,GalaxyCard,2017,Gurugram,FinTech,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,India Accelerator,3000000,Seed,2020
156,Wellness Forever,2008,Mumbai,HealthTech,Wellness Forever is the one-stop destination for wellness,"Poonawalla, Allana Group",100000000,Venture - Series Unknown,2020
157,MoooFarm,2019,Gurugram,AgriTech,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,"Navus Ventures, Rockstart",500000,Pre-seed,2020
158,BitClass,2020,Bangalore,PaaS startup,BitClass is a PaaS solution which helps teachers set up their independent live classes,"AET Japan, Figure Eight Investments, Waterbridge Ventures",2000000,Seed,2020
159,Gonuts,2020,Mumbai,Entertainment,Personalised Video shoutouts from favourite celebrity.,"Sweta Rau, Archana Priyadarshini",400000,Seed,2020
