,company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year
1718,Bueno Finance,2019,Gurugram,FinTech,"Bueno Gig Growth Technologies Pvt Ltd (""Bueno Finance"") is a financial services platform which aims is to help improve the financial health of customers.","Goat Capital, JAM Fund",3000000,Seed,2021
1719,CityMall,2019,Gurugram,E-commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"General Catalyst, Jungle Ventures",22000000,Series B,2021
1720,Byju's,2011,Bangalore,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Blackstone Group, ADQ",50000000,Venture - Series Unknown,2021
1721,India Quotient,2012,Mumbai,Venture capitalist,India Quotient is a new type of early stage investor. We fund companies building disruptive businesses aimed at Indian consumers. We're,Lightbox,64000000,Venture - Series Unknown,2021
1722,The Switch Fix,2019,Gurugram,Healthcare,The Switch Fix is a plant-based clean and conscious personal care brand for young urbans.,"Venture Catalysts, 9Unicorns",3000000,Seed,2021
1723,Anvidha Technologies,2020,Haryana,Tech Startup,Anvidha Technologies Private Limited is a HARYANA based private ltd.,"3Lines, Jabbar Internet Group",1500000,Seed,2021
1724,DigiSparsh,2020,Mumbai,FinTech,DigiSparsh is India's first and only healthcare fintech platform which aims to make healthcare facilities accessible to everyone in the country.,GoAhead Ventures,3000000,Seed,2021
1725,CoffeeMug.ai,2020,New Delhi,Networking,"A video first global platform of senior professionals, connecting 1:1, virtually or over coffee, building a powerful, long-lasting relationship.","Paradigm Shift Capital, AngelList India",620000,Pre-seed,2021
1726,Pathfndr.io,2015,Bangalore,SaaS startup,Intelligent Travel Tech Stack making sense of the world's information by scanning billions of data points and ranking destinations,Arali Ventures,3000000,Pre-series A,2021
1727,BigLeap,2015,Hyderabad,Recruitment,BigLeap Technologies & Solutions is focused on providing viable offshore consultancy services for enterprises looking to grow their business.,Anup Kumar Yama,600000,Venture - Series Unknown,2021
1728,Kazam,2020,Bangalore,EV startup,"Kazam provides end to end Electric Vehicle charging solutions for Office Spaces, Apartments, Restaurants, Shops",Inflection Point Ventures,900000,Seed,2021
1729,MYRE Capital,2020,Mumbai,Commercial Real Estate,Democratising Real Estate Ownership Own rent yielding commercial properties,Unknown,6000000,Venture - Series Unknown,2021
1730,BimaPe,2020,Mumbai,FinTech,BimaPe demystifies Insurance and its Management for individuals and families across India. 'BimaPe Bharosa Karo',"iSeed, Titan Capital",500000,Pre-seed,2021
1731,MicroDegree,2019,Mangalore,EdTech,MicroDegree is an ed-tech platform working towards democratising technology and job ready skills for Bharat.,Research Innovation Incubation Design Labs,3000000,Venture - Series Unknown,2021
1732,Saarthi Pedagogy,2015,Ahmadabad,EdTech,"India's fastest growing Pedagogy company, serving to school as an academic growth partner and provide 360° solutions to schools on Academic Strategies Pedagogy","JITO Angel Network, LetsVenture",1000000,Venture - Series Unknown,2021
1733,Synapsica,2017,New Delhi,Healthcare,Artificial Intelligence tools to make quality diagnostic assessment available for all.,"IvyCap Ventures, Endiya Partners",4000000,Series A,2021
1734,Kwik Foods,2020,Gurugram,Food & Beverages,Kwik Foods is one of the fastest-growing D2C fresh food brands that is disrupting the food industry,9Unicorns,3000000,Seed,2021
1735,Plutomen,2016,Ahmadabad,AR startup,Plutomen Technologies Pvt Ltd founded in Nov 2016 is recognized start-up by DIPP in the field of Emerging Technology.,"GUSEC Seed Fund, DeVX Venture Fund",300000,Venture - Series Unknown,2021
1736,GoMechanic,2016,Gurugram,Automotive,"GoMechanic is India’s leading multi-brand car service company, committed to making the car servicing experience hassle-free & easy for everyone.","Tiger Global, Sequoia",42000000,Series C,2021
1737,Grinntech,2013,Chennai,Automotive,"Grinntech is an investor backed, growth phase start-up, leading on all front of battery design for EV applications.","Falcon Edge, Softbank",2000000,Venture - Series Unknown,2021
1738,Nobel Hygiene,1999,Mumbai,Healthcare,"Nobel Hygiene is one of the leading disposable hygiene care products manufacturer in the country with an ISO 9001:2015 and CE certification, headquartered in Mumbai.",Quadria Capital,60000000,Venture - Series Unknown,2021
1739,Green Cure,2015,New Delhi,Healthcare,World's first company to combine German Engineering with Indian Ayurveda in health products,Venture Catalysts,3000000,Pre-series A,2021
1740,Classplus,2017,Noida,EdTech,Classplus was born out of an urge to redefine classroom engagement in this country.,Tiger Global,65000000,Series C,2021
1741,WINDO,2020,Hyderabad,E-commerce,Convert Instagram Page Into an Online Store in under 2-minutes. Create a free online store and automate your sales.,Unicorn India Ventures,500000,Seed,2021
1742,Apnaklub,2020,Bangalore,E-commerce,Supporting independent businesses and retail entrepreneurs with better than market wholesale prices and supply chain.,"Blume Ventures, Whiteboard Capital",3000000,Pre-series A,2021
1743,LegalPay,2019,New Delhi,FinTech,A tech focused B2B litigation finance company in India.,Ashwini Kakkar. 9Unicorns,3000000,Venture - Series Unknown,2021
1744,Lavado,2016,Mumbai,Consumer service,A startup that is trying to permanently change the way people approach the cleaning and maintenance of their apparel and accessories.,Ashish Shah,3000000,Venture - Series Unknown,2021
1745,Navars,2019,Hyderabad,EdTech,"Navars Edutech comprises dynamic mix of intellectual professionals, managerial team, Subject matter experts and Astronomy and Space researchers.",Faad Network,3000000,Venture - Series Unknown,2021
1746,GoBolt,2015,Gurugram,Logistics,"GoBOLT is a tech-logistics company operating in Line Haul & Short Haul Trucking, creating value through dis-intermediation, increased asset utilization and extensive use of technology.","Paragon Partners, Aavishkaar Capital",20000000,Series B,2021
1747,Loco,2018,Bangalore,Gaming,Loco is India's leading live game streaming app.,"Krafton, Lumikai",9000000,Seed,2021
1748,Auric,2017,New Delhi,Healthcare,Contemporary Beauty & Wellness Brand Based on Ayurveda,Venture Catalysts,2000000,Pre-series A,2021
1749,Edmingle,2016,Bangalore,EdTech,Edmingle is a platform for all educators who want to launch their courses and sell them online.,"Indovation Fund, Mumbai Angels",300000,Venture - Series Unknown,2021
1750,Slice,2016,Bangalore,FinTech,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards.","Gunosy, Blume Ventures",20000000,Venture - Series Unknown,2021
1751,Humit,2020,Bangalore,Music,Humit is a social networking app for music sharing and discovery.,Antler India,3000000,Pre-seed,2021
1752,Airblack,2019,Gurugram,IT startup,Airblack is on a mission to help people convert their passion to a livelihood.,"Edge Ventures, Elevation Capital",5200000,Series A,2021
1753,NIRAMAI,2016,Bangalore,Healthcare,"NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix, i.e. machine intelligence over thermography images.",CDC Group,3000000,Venture - Series Unknown,2021
1754,Intervue,2021,New Delhi,SaaS startup,World's fastest collaborative environment to take tech interviews.,"Titan Capital, Kunal Shah",3000000,Seed,2021
1755,Nestroots,2016,Gurugram,Fashion,"Ottoman, Stool, Brass Kitchen Solutions, Masala Box, Roti Box, Bar Accessories and Many Gifting Options at Nestroots.",We Founder Circle,100000,Seed,2021
1756,Detect Technologies,2016,Chennai,Automation,Detect Technologies is a leading Industrial AI company that is building innovative solutions and cutting-edge technology for the industrial ecosystem.,"Accel Partners, Elevation Capital",12000000,Venture - Series Unknown,2021
1757,CredR,2015,Bangalore,Automotive,CredR is India’s Most Trusted Used Two-Wheeler Consumer Brand that leverages Technology & Processes to simplify the Used Two-wheeler Market.,"Yamaha Motors, Omidyar Network India, Eight Roads Ventures",6500000,Venture - Series Unknown,2021
1758,Fourth Partner Energy,2010,Hyderabad,Solar,"Fourth Partner Energy is India’s leading distributed solar energy firm focusing on building and financing solar projects across the private and public sectors for commercial, industrial and institutional entities.","Norfund, The Rise Fund",125000000,Venture - Series Unknown,2021
1759,TABLT,2018,Kolkata,Healthcare,TABLT [Previously Sabse Sasta Dukaan] is one of India's most trusted online pharmacy dealing in medicines and other healthcare products.,Siti Cable,3000000,Seies A,2021
1760,Hesa,2020,Hyderabad,IT startup,HESA is connecting Bharat with India and India with Bharat Phygitally. We are bridging the gap for the world’s largest customer base that resides in rural India.,"Venture Catalysts, 9Unicorns",2000000,Seed,2021
1761,Powerhouse91,2020,Gurugram,Consumer Goods,"A tech-driven company that acquires, operates, and scales outstanding ecommerce brands in India.",Crossbeam Venture Partners,3000000,Seed,2021
1762,Nalanda Learning,2011,Kolkata,EdTech,India's 1st Online Preschool with Blended Learning Model,Aavishkaar Capital,5000000,Venture - Series Unknown,2021
1763,Chargeup,2019,New Delhi,Renewable Energy,"""Battery as a Service"" for 3 wheeler & 2 wheelers",Mapmyindia,3000000,Pre-series A,2021
1764,Knackit,2019,Bangalore,IT startup,Knackit is a talent sharing platform where users can showcase and monetize their artistry.,Jyoti Bansal,100000,Venture - Series Unknown,2021
1765,Treebo Hotels,2015,Bangalore,Hospitality,Treebo Hotels is India's most loved hotel chain in the premium-budget segment.,Accor,16000000,Series D,2021
1766,Raptee Energy,2019,Chennai,Automotive,Raptee Energy Inc. is looking to accelerate the transition to smart and sustainable mobility!,"Falcon Edge, Softbank",700000,Venture - Series Unknown,2021
1767,Meddo,2018,Gurugram,Healthcare,Meddo (Arctern Healthcare) are re-defining how primary and secondary healthcare is provided in India through a connected care delivery platform.,"SRI Capital, Picus Capital, Alkemi Capital",6000000,Venture - Series Unknown,2021
1768,Supertails,2021,Bangalore,Pet care,Supertails is building a digital pet care platform which offers expert led healthcare services and products.,"Saama Capital, DSG Consumer Partners",2600000,Pre-series A,2021
1769,SkilloVilla,2020,Bangalore,EdTech,Mission to support young graduates in enhancing their learnings and transform them into big earnings.,Titan Capital,300000,Seed,2021
1770,Cancer Clinics,2014,Telugana,Healthcare,"Cancer Helpline is a source of information and support, helping with all the things that people affected by cancer want and need.",Axilor,1500000,Pre-series A,2021
1771,Velocity,2020,Bangalore,FinTech,Velocity provides revenue-based-financing to online businesses. It aims to build the future of banking and financial services for new age businesses in India.,Valar Ventures,1300000,Seed,2021
1772,Happy Jars,2016,New Delhi,Food & Beverages,"Manufacture and retail a delicious range of all-natural nut butters, made without oil, sugar or preservatives.",Inflection Point Ventures,400000,Seed,2021
1773,Inshorts,2013,Noida,Media,Inshorts is a news aggregator application that collects and summarizes news based on user behavior and preferences.,"Addition, SIG Global India Fund",40000000,Venture - Series Unknown,2021
1774,ExtraaEdge,2015,Pune,MarTech,Data Science powered - Admission & Marketing CRM Automation for Education Enrolments,"9Unicorns Accelerator Fund, Indian Angel Network",1000000,Pre-series A,2021
1775,Zotalabs,2019,Pune,Tech Startup,Zotalabs gives the power of Emerging Technology to your digital automation with our easy to use APIs.,Alfa Ventures,1250000,Seed,2021
1776,Voiro,2014,Bangalore,Advertisement,Voiro is the first all-in-one revenue management suite exclusively for ad-led digital publishers across media.,1Crowd,1800000,Pre-series A,2021
1777,Dream Sports,2008,Mumbai,Gaming,"Dream Sports is India’s leading sports technology company with brands such as Dream11, FanCode, DreamX and DreamSetGo in its portfolio.","TCV, D1 Capital Partners, Falcon Edge.",400000000,Venture - Series Unknown,2021
1778,Safex Chemicals,1991,New Delhi,AgriTech,Safex Chemicals India Ltd is a leading company having a strong foothold in the Indian agrochemicals industry.,BanyanTree Finance Pvt. Ltd.,50000000,Venture - Series Unknown,2021
1779,Instoried,2018,Bangalore,Content creation,Instoried is an augmented writing platform which improves customer interest and engagement.,"EXPERT DOJO, Mumbai Angels",3000000,Venture - Series Unknown,2021
1780,Rupifi,2019,Bangalore,FinTech,Rupifi operates a software-as-a-service (SaaS) firm focussed on financial products.,Quona Capital,4100000,Pre-series A,2021
1781,Moneyboxx,1994,Mumbai,FinTech,Moneyboxx Finance provides easy access to financing to the deserving micro enterprises.,"Ashv Finance, BlackSoil Capital",3000000,Debt,2021
1782,CityMall,2019,Gurugram,E-commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"WaterBridge Ventures, SAIF Partners",11000000,Series A,2021
1783,Janani,2020,Bangalore,Heathcare,Janani.ai is a fertility care provider.,"Sweta Rau, 9Unicorns Accelerator Fund",1000000,Seed,2021
1784,ReshaMandi,2020,Bangalore,AgriTech,India's 1st award winning technology led digital ecosystem for Silk,"Omnivore, Strive Ventures",1700000,Seed,2021
1785,Bombay Shaving Company,2015,New Delhi,Lifestyle,"Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care, beard care, and skincare products.","Rajesh Sud, KULDEEP JAIN",2000000,Venture - Series Unknown,2021
1786,DotPe,2019,Gurugram,FinTech,DotPe is a technology start-up providing a commerce and payments platform to offline enterprise businesses.,"PayU, Google",27000000,Series A,2021
1787,Homingos,2018,Bangalore,Augmented reality,Homingos is an Augmented reality (AR)-based social networking platform.,"Sundi Natarajan, Srinivas Anumolu",3000000,Venture - Series Unknown,2021
1788,Anar Business Community,2020,Mumbai,Tech Startup,Anar is a communications and networking platform for businesses around the world.,"Titan Capital, First Cheque",3000000,Venture - Series Unknown,2021
1789,Five Star Finance,1984,Chennai,FinTech,Five-Star is a Registered Non Banking Finance Company (NBFC) with Reserve Bank of India (RBI).,"TPG Capital Asia, Epiq Capital",234000000,Venture - Series Unknown,2021
1790,Settlrs,2018,Bangalore,Rental space,"A B2B rental services company for furniture, home appliances, electronic and IT infrastructure.",MaGEHold Pte. Ltd.,3000000,Pre-series A,2021
1791,Byju's,2011,Bangalore,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"BlackRock, Owl Ventures",460000000,Series F,2021
1792,Annapurna Finance,2009,Bhubaneswar,FinTech,Annapurna Microfinance is a microfinance venture that works for the financial and economic upliftment of underserved and unreached women.,"Asian Development Bank, Oman India Joint Investment Fund",30000000,Venture - Series Unknown,2021
1793,HealthPlix,2014,Bangalore,Healthcare,HealthPlix is a healthtech startup,"JSW Ventures, Kalaari Capital",13500000,Series B,2021
1794,Masai School,2019,Bangalore,EdTech,Masai School is a job-oriented software training services.,"Unitus Ventures, Omidyar Network India",5000000,Series A,2021
1795,Bewakoof,2011,Mumbai,D2C Fashion,"Society perceives Bewakoof as stupid.But what does society call Bewakoof?Often, it’s anything different or anything that’s done differently.","IvyCap Ventures, Pratithi Investment Trust",4000000,Venture - Series Unknown,2021
1796,IndiaLends,2014,New Delhi,FinTech,IndiaLends is a digital lending and borrowing marketplace.,"ACPI Investments, AdvantEdge Founders",5100000,Venture - Series Unknown,2021
1797,Stelis Biopharma,2007,Bangalore,BioTechnology,Stelis Biopharma is a vertically integrated biopharmaceutical company.,"RouteOne, Mankekar Family Office",195000000,Series B,2021
1798,Tilt,2016,Bangalore,Bike Rental,A bike-share for Indian campuses,Y Combinator,125000,Venture - Series Unknown,2021
1799,NeoDove,2020,Jaipur,AI startup,"Neodove is an AI-powered, end to end tech-enabled customer communication and reporting solution.",India Quotient,15000000,Seed,2021
1800,Zaara Biotech,2016,Kottayam,BioTechnology,India's First Algal-seaweed Biotechnology Students' Startup in collaboration with ICAR- Central Institute of fisheries and Technology,TCN International Commerce,10000000,Venture - Series Unknown,2021
1801,KreditBee,2018,Bangalore,FinTech,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,"Alpine Capital, PremjiInvest",75000000,Seed,2021
1802,True Balance,2014,Gurugram,FinTech,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,"Bon Angels Venture Partners, Daesung Private Equity",10000000,Debt,2021
1803,Muvin,2020,Bangalore,FinTech,Youth Neobank enabling financial solutions for the teenagers and young people,Angel investors,1000000,Seed,2021
1804,Purplle,2011,Mumbai,Beauty products,"Purplle is an online store selling cosmetics, fragrances, skin, and hair care products.","Spring Marketing Capital, Verlinvest",45000000,Venture - Series Unknown,2021
1805,FloBiz,2019,Bangalore,Tech Startup,India’s first neobusiness platform,Elevation Capital,10000000,Series A,2021
1806,Jeevam Health,2020,New Delhi,Healthcare,Jeevam Health is an Online Medical Clinic to Cure Root Cause of Chronic Issues in India.,Y Combinator,1500000,Pre-seed,2021
1807,NewLink Group,2016,Beijing,Tech Startup,Developer of an energy management and transportation digital platform designed to streamline the energy supply chain,Bain Capital,200000000,Venture - Series Unknown,2021
1808,Oziva,2016,Mumbai,Heathcare,OZiva is a plant-based Clean Nutrition Brand.,"F-Prime Capital, Eight Roads Ventures India",12000000,Series B,2021
1809,BLive,2004,Panaji,Tourism,B: Live is an electric vehicle tourism startup.,"Mumbai Angels, DNA Entertainment Networks",1000000,Pre-series A,2021
1810,Nazara Technologies,2000,Mumbai,Gaming,"Nazara Technologies develops mobile content such as games, themes, wallpapers, and multimedia.","Hornbill Capital Advisers, Plutus Wealth Management",30000000,Venture - Series Unknown,2021
1811,Euler Motors,2018,New Delhi,Automotive,Electric Light Commercial Vehicle,"ADB Ventures, Jetty Ventures",2600000,Series A,2021
1812,Pixxel,2019,Bangalore,Spacetech,Pixxel is a Bengaluru-based space technology startup building a constellation of advanced earth imaging small satellites.,"Techstars, Ryan Johnson",7300000,Seed,2021
1813,Prescinto,2016,Gujarat,Solar,Prescinto is the brain of a solar plant delivering Actionable Intelligence to Increase Generation.,"Venture Catalysts, 9Unicorns Accelerator Fund",3500000,Seed,2021
1814,MyGlamm,2015,Mumbai,Beauty products,MyGlamm is a direct-to-consumer brand of award winning European beauty products.,Bessemer Venture Partners,20000000,Series C,2021
1815,Chirrup,2020,Bangalore,Gaming,Video integrated social-gaming platform,"Titan Capital, iSeed, First Cheque, 3.0 Fund.",300000,Pre-seed,2021
1816,Policybazaar,2008,Gurugram,Insurance,PolicyBazaar designs an online life insurance and general insurance comparison portal that analyzes financial products.,"Falcon Edge Capital, White Oak Global Advisors",75000000,Venture - Series Unknown,2021
1817,Livve Homes,2017,Bangalore,Rental space,"India's homegrown online portal, championing the region for a brighter, more exciting livvable future. Right from simply connecting owners and tenants and to managing everything in between",Angel investors,5000000,Venture - Series Unknown,2021
1818,Juicy Chemistry,2014,Coimbatore,Healthcare,Juicy Chemistry operates as an eponymous consumer brand.,Akya Ventures,6300000,Series A,2021
1819,Svasti Microfinance,2008,Mumbai,FinTech,Svasti works with urban slum dwellers women microentrepreneurs.,"Kayenne Ventures, Nordic Microfinance Initiative",4000000,Venture - Series Unknown,2021
1820,Nexprt,2020,New Delhi,Consulting,Nexprt Solutions offers end-to-end and 100% customized import solutions.,Titan Capital,2000000,Venture - Series Unknown,2021
1821,Wysa,2015,Bangalore,AI startup,Wysa is an AI conversational agent that has been shown to help improve mental health,"Kae Capital, Pi Ventures",3000000,Venture - Series Unknown,2021
1822,Ankur capital,2011,Mumbai,FinTech,Early stage venture capital fund focused on opportunities created by rising aspirations & digital access for next billion Indians.,Angel investors,40000000,Venture - Series Unknown,2021
1823,Indifi,2015,Gurugram,FinTech,Indifi Technologies is a digital lending platform that offers loans to those that have potential and intent.,"Elevar Equity, Accel India",5000000,Debt,2021
1824,Firmway,2016,Mumbai,FinTech,Firmway is a platform that digitizes balance confirmation and reconciliation process.,Angel investors,3000000,Pre-seed,2021
1825,Say Cheese,2020,Mumbai,FemTech,"Say Cheese is the first holistic women-happiness platform in India, focused to increase the happiness of women through personalized solutions","Celesta Capital, Omidyar Network India",1000000,Seed,2021
1826,Indic Inspirations,2019,Pune,Cultural,"Indian Souvenirs online that reflect Indian tradition, culture & stories. Best for personal gifting and corporate gifting.",Marquee investors,300000,Venture - Series Unknown,2021
1827,Bimaplan,2020,Mumbai,FinTech,Affordable insurance for the next billion Indians,"Titan Capital, Y Combinator",500000,Seed,2021
1828,YAP,2014,Chennai,FinTech,YAP is the API Platform for Banking and Payments products in Asia. More than 200 Fintechs across Asia rely on YAP,"Jitendra Gupta, Better Capital",10000000,Series B,2021
1829,Leap Finance,2019,Bangalore,FinTech,Leap Finance is a fintech startup for Indian students pursuing international higher education,Jungle Ventures,17000000,Series B,2021
1830,BlackSoil NBFC,2010,Mumbai,FinTech,BlackSoil Capital has transformed into an alternative NBFC and AIF Fund platform with an expertise to finance multiple sectors.,Angel investors,3000000,Venture - Series Unknown,2021
1831,OYO,2012,Gurugram,Hospitality,OYO operates a branded network of hotels designed to offer standardized stay experiences.,Hindustan Media Venture,200000000,Venture - Series Unknown,2021
1832,Max Healthcare,2000,New Delhi,Healthcare,Max Healthcare is one of the leading chain of hospitals in India.,"Radiant Life Care Private Ltd, Life Healthcare",140000000,Venture - Series Unknown,2021
1833,4baseCare,2018,Bangalore,HealthTech,4baseCare develops a unified and patient-centric ecosystem to fight cancer.,"Mount Judi Ventures, growX Ventures, Season Two Ventures",2000000,Pre-series A,2021
1834,Ezstays,2019,New Delhi,EdTech,"Ezstays is a leading student-life network, providing hostels and PG accommodation with top-tier living facilities at the best prices.",Richard Rekhy,400000,Seed,2021
1835,Stylework,2017,Gurugram,Coworking,Stylework is an unconventional co-working space aggregator that is going to change the way people work.,Inflection Point Ventures,500000,Pre-series A,2021
1836,Kinara Capital,2011,Bangalore,FinTech,Kinara Capital is a financing company that provides flexible collateral-free loans to small business entrepreneurs.,"GAWA Capital, Gaja Capital",6000000,Venture - Series Unknown,2021
1837,Riskcovry,2018,Bangalore,InsureTech,"Riskcovry is an ""Insurance-in-a-box” model offers a one-stop-shop platform to cater to any business's digital insurance needs.","Better Capital, Bharat Inclusion Seed Fund",5000000,Series A,2021
1838,NODWIN,2012,Gurugram,Gaming,NODWIN Gaming is a gaming solutions company and creator of e-sports events.,KRAFTON,20000000,Venture - Series Unknown,2021
1839,Quizizz,2015,Bangalore,EdTech,Quizizz is a Education based startup,"Eight Roads Ventures India, Nexus Venture Partners",12500000,Series A,2021
1840,Ecom Express,2012,New Delhi,E-commerce,Ecom Express is an end-to-end technology-enabled logistics solutions provider to the Indian e-commerce industry.,"CDC Group, Partners Group",20000000,Venture - Series Unknown,2021
1841,Turtlemint,2015,Mumbai,InsureTech,Turtlemint is an online insurance platform that identifies and purchases appropriate insurance policies for consumers.,Jungle Ventures,45000000,Series D,2021
1842,Captain Fresh,2019,Bangalore,Supply chain platform,Captain Fresh is a freshwater fish and seafood supply chain platform.,"Matrix Partners India, Ankur Capital",3000000,Seed,2021
1843,Northern Arc,2008,Chennai,FinTech,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,"U.S. International Development Finance Corp, Asian Development Bank",10000000,Debt,2021
1844,Qoohoo,2020,Bangalore,Social platform,A platform for creators to build immersive connections with their fans and followers and monetize them.,Angel investors,800000,Seed,2021
1845,IGL,2016,Mumbai,Gaming,Indian Gaming League is the premier eSports platform in India.,"Hungama, Hindustan Talkies",500000,Venture - Series Unknown,2021
1846,AMPM,2018,Gurugram,E-commerce,24*7 convenience store,Agility Venture Partners,200000,Venture - Series Unknown,2021
1847,The ePlane,2016,Chennai,Drone,"Transforming the mobility landscape using aerial transport. Currently, we build drones for industrial applications","Speciale Invest, Farid Ahsan",1000000,Seed,2021
1848,Cashify,2009,Gurugram,E-commerce,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,"Bessemer Venture Partners, CDH Investments",15000000,Venture - Series Unknown,2021
1849,Bijnis,2014,New Delhi,B2B service,Digitizing the Factories of the Unorganised Industries.,"Sequoia Capital India, Matrix Partners India",3000000,Venture - Series Unknown,2021
1850,Questt,2020,Gurugram,EdTech,Questt is a homework app that allows teachers to allocate objective and subjective homework based on selected content.,"Chiratae Ventures, AET Fund",1000000,Seed,2021
1851,DealShare,2018,Jaipur,E-commerce,DealShare is a Social Commerce Startup,"Omidyar Network, Falcon Edge Capital",3000000,Debt,2021
1852,Euler Motors,2018,New Delhi,Automotive,Electric Light Commercial Vehicle,"Jetty Ventures, Srinivas Anumolu",4000000,Series A,2021
1853,Blume Ventures,2011,Mumbai,FinTech,Blume Ventures provides pre-series A and early stage funding to tech-focused/tech-enabled ventures.,Avendus,40000000,Venture - Series Unknown,2021
1854,KoineArth,2018,Bangalore,Blockchain startup,"Koinearth is a stealth mode startup working at the intersection of blockchains, machine learning and mechanism design",YourNest,1800000,Pre-series A,2021
1855,ImaginXP,2013,Pune,EdTech,ImaginXP is a curriculum company with a focus on training and certification in UX Design and Design Thinking.,Venture Catalysts,1500000,Venture - Series Unknown,2021
1856,Virohan,2018,Gurugram,EdTech,Virohan is an edtech company using technology to prepare a future-ready workforce for the healthcare industry.,"National Skill Development Corporation, Rianta Capital",3000000,Venture - Series Unknown,2021
1857,Apna.co,2019,Bangalore,Recruitment,Apna is a recruitment platform that gives opportunities for blue or grey collar jobs.,"Sequoia Capital India, rocketship.vc",12500000,Venture - Series Unknown,2021
1858,ideaForge,2007,Mumbai,Drone,ideaForge is an Indian company engaged in the development of unmanned aerial systems.,"Infosys, Qualcomm Ventures",2000000,Venture - Series Unknown,2021
1859,Clairco,2018,Bangalore,CleanTech,Clairco provides enhanced air purification and real-time insights for breathable air indoors.,"Real Estate Accelerator Program (REAP), AngelList",500000,Venture - Series Unknown,2021
1860,Northern Arc,2008,Chennai,FinTech,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,"Asian Development Bank, U.S. International Development Finance Corp",50000000,Debt,2021
1861,Lenskart,2010,"Faridabad, Haryana",Fashion,Lenskart is an India-based online shopping portal for eyewear.,"Kohlberg Kravis Roberts, Temasek Holdings",95000000,Venture - Series Unknown,2021
1862,ParkSmart,2018,New Delhi,Automotive,ParkSmart is a parking management application.,"Shireen Rangaswamy, Dilesh Gathani",3000000,Seed,2021
1863,Virohan,2018,Gurugram,EdTech,Virohan is an EdTech company that offers healthcare vocational training to students to build a career in the healthcare industry.,"Rebright Partners, Wadhwani Foundation",3000000,Series A,2021
1864,BankSathi,2019,New Delhi,FinTech,"Bank Sathi provides loans, insurance, cards comparison, and approval facility.","Dinesh Godara, Aditya Talwar",200000,Seed,2021
1865,Spark Studio,2020,Bangalore,EdTech,Online courses to build creativity and confidence in children through extra-curricular learning,Better Capital,3000000,Seed,2021
1866,BlissClub,2020,Bangalore,Fashion,"BlissClub is a community first women’s activewear brand. It is a Direct-to-Consumer brand in the active lifestyle space, founded in 2020 by ISB Alum Minu Margeret",Elevation Capital,2000000,Seed,2021
1867,BricSpaces,2018,Bangalore,Real Estate,"A prop-tech company that finds and customizes offices, living, or retail spaces based on your requirements.",Angel investors,350000,Pre-seed,2021
1868,ANSR,2008,Bangalore,Consulting,"ANSR Consulting is providing end-to-end services for companies, setting up captive service centers.","Sistema Asia Capital, Evolvence India Fund",15000000,Series B,2021
1869,Keito,2016,Pune,AI Company,"NO-CODE <> Human-assisted machine learning platform for document processing, to break information silos for enterprises","Rajesh Agarwal, Nandkishore Mundada",3000000,Seed,2021
1870,Reccy Adventures,2019,Gurugram,Sports startup,Reccy Adventures is an adventure sports startup.,"Kallol Banerjee, Jaydeep Barman",400000,Seed,2021
1871,Magenta EV,2017,Mumbai,Renewable Energy,Magenta is in the business of Enabling electric mobility & Making electricity clean,"JITO Angel Network, LetsVenture",15000000,Series A,2021
1872,Karbon Card,2019,Bangalore,FinTech,Karbon Card is a financial platform for Indian entrepreneurs.,"MyAsia VC, Orios Venture Partners",1000000,Pre-series A,2021
1873,Wysa,2015,Bangalore,AI Company,Wysa is an AI conversational agent that has been shown to help improve mental health,"W Health Ventures, Pi Ventures",5000000,Series A,2021
1874,Agnikul,2017,Chennai,Spacetech,"Agnikul is a space tech startup that designs, manufactures, tests, and launch orbital class rockets for micro and nano satellites.","Artha India Ventures, Sriram Krishnan",11000000,Series A,2021
1875,LegalPay,2019,New Delhi,FinTech,A trusted financial partner for advocates and corporate.,9Unicorns,3000000,Seed,2021
1876,Glamplus,2020,Bangalore,SaaS startup,India's #1 SaaS based Salon experience Software,Inflection Point Ventures,200000,Pre-series A,2021
1877,Tekie,2017,Gurugram,EdTech,"Tekie is a live coding platform for kids that uses the power of storytelling, to make learning to code a movie-like experience.","GSV, Multiply Ventures",1500000,Seed,2021
1878,Asirvad Microfinance,2007,Chennai,FinTech,Asirvad Microfinance provides microfinance loans to women from a poor and low-income households.,"WorldBusiness Capital, Northern Arc",15000000,Venture - Series Unknown,2021
